product_id,views,purchases,conversion_rate
1005159,1,1,100
8500290,1,1,100
4100258,1,1,100
45300001,1,1,100
5701087,1,1,100
7005677,1,1,100
17300053,1,0,0
14701915,1,0,0
8300340,1,0,0
12718639,1,1,100
40500348,1,1,100
3800920,1,1,100
26010778,1,0,0
11100315,1,1,100
6902812,1,1,100
12711279,1,1,100
8700514,1,1,100
9800341,1,1,100
18001092,1,1,100
21409293,1,0,0
17500485,1,1,100
26204213,1,1,100
12719197,1,0,0
13902825,1,0,0
2401887,1,0,0
37500771,1,0,0
26404407,1,1,100
27300009,1,1,100
22500128,1,0,0
28714643,1,1,100
29502287,1,1,100
24600127,1,0,0
26204573,1,0,0
12701393,1,1,100
13700041,1,1,100
13900603,1,0,0
25507750,1,0,0
26405086,1,0,0
26200494,1,1,100
28101269,1,1,100
9800316,1,1,100
7004004,1,1,100
26012916,1,1,100
7300484,1,1,100
7900500,1,0,0
14600046,1,0,0
17302448,1,1,100
5300375,1,1,100
15200176,1,1,100
41100005,1,1,100
2402252,1,1,100
17300014,1,1,100
3200373,1,1,100
29502246,1,1,100
26402159,1,1,100
12500176,1,0,0
13800287,1,1,100
23301548,1,1,100
20000238,1,1,100
5100572,1,1,100
1005225,1,1,100
2701430,1,1,100
3601063,1,1,100
14700716,1,1,100
11600299,1,1,100
26400217,1,1,100
55600007,1,1,100
3500093,1,1,100
1802105,1,1,100
12717694,1,1,100
12702043,1,1,100
24100040,1,0,0
14700268,1,0,0
39500037,1,0,0
26006238,1,0,0
22200236,1,0,0
8902139,1,0,0
12720733,1,0,0
28715746,1,0,0
42200033,1,1,100
34800381,1,1,100
17000108,1,0,0
26200292,1,1,100
15100231,1,1,100
10700017,1,1,100
13100505,1,1,100
28710474,1,0,0
9002395,1,0,0
45600801,1,0,0
5100397,1,1,100
4900092,1,1,100
19002457,1,0,0
2601799,1,1,100
24900132,1,0,0
25700439,1,0,0
12711733,1,1,100
10400779,1,0,0
9200339,1,0,0
17302735,1,1,100
28400912,1,1,100
27700986,1,0,0
39500088,1,0,0
17400166,1,1,100
25400009,1,1,100
26403382,1,1,100
1306632,1,1,100
28715969,1,1,100
12710129,1,0,0
12711348,1,1,100
12718707,1,1,100
12706596,1,1,100
3701145,1,1,100
28716508,1,1,100
26402803,1,1,100
26400840,1,1,100
7006227,1,0,0
1004219,1,1,100
1801900,1,1,100
12703410,1,1,100
2701550,1,1,100
26500314,1,1,100
15700006,1,1,100
11100287,1,1,100
2501419,1,1,100
4201467,1,1,100
4000197,1,1,100
5400764,1,1,100
13600007,1,1,100
26202897,1,1,100
18000182,1,0,0
1701518,1,0,0
12709006,1,1,100
11900103,1,1,100
12706008,1,0,0
33000375,1,0,0
6701171,1,1,100
28707875,1,0,0
26006035,1,1,100
4201405,1,1,100
28102492,1,1,100
17302903,1,0,0
21410145,1,0,0
26004814,1,0,0
26203558,1,1,100
15200534,1,1,100
11500677,1,1,100
15600009,1,1,100
28708013,1,0,0
9100638,1,1,100
3500281,1,1,100
34800085,1,1,100
25700518,1,0,0
12202462,1,1,100
2300303,1,1,100
17302498,1,1,100
28709829,1,1,100
8500236,1,1,100
13902417,1,1,100
34500048,1,1,100
1306414,1,1,100
26203483,1,1,100
4802197,1,0,0
1004145,1,1,100
1004949,1,1,100
2702279,1,1,100
30200007,1,1,100
4400073,1,1,100
6200947,1,1,100
3200426,1,1,100
4802162,1,1,100
26200029,1,1,100
1002974,1,1,100
26402188,1,1,100
12706727,1,1,100
9400037,1,1,100
48200384,1,1,100
3700796,1,1,100
11000167,1,1,100
30100097,1,1,100
26200088,1,1,100
12702138,1,0,0
11200398,1,1,100
24900078,1,0,0
1307185,1,0,0
12706031,1,1,100
17302032,1,1,100
21410995,1,1,100
10502594,1,0,0
6601094,1,1,100
28718959,1,0,0
12712563,1,1,100
12708156,1,1,100
11700333,1,1,100
29600019,1,0,0
3900862,1,0,0
26013226,1,0,0
19000213,1,0,0
23300822,1,1,100
12710442,1,1,100
12720105,1,1,100
52900044,1,1,100
5400170,1,1,100
13901278,1,0,0
8800841,1,1,100
25300101,1,1,100
26200036,1,1,100
10100050,1,1,100
15200387,1,1,100
10100916,1,0,0
12702649,1,1,100
26402003,1,0,0
38900113,1,1,100
2500743,1,0,0
7900508,1,1,100
11700344,1,1,100
21405066,1,1,100
6902795,1,1,100
22900088,1,1,100
2501853,1,0,0
21405250,1,1,100
28300411,1,0,0
28719284,1,1,100
4502746,1,1,100
35103665,1,1,100
26203813,1,1,100
12700069,1,1,100
23100017,1,1,100
28705956,1,1,100
5800263,1,1,100
3800548,1,1,100
4800282,1,1,100
41200012,1,1,100
40900013,1,1,100
5200133,1,1,100
2700615,1,1,100
4201024,1,1,100
5301337,1,1,100
8300367,1,0,0
12701004,1,1,100
16600153,1,1,100
10502059,1,0,0
45600537,1,0,0
35200209,1,0,0
2900939,1,0,0
9800133,1,0,0
15200563,1,1,100
22700348,1,0,0
43700028,1,0,0
19200045,1,1,100
25600097,1,0,0
16800517,1,0,0
1003911,1,1,100
14701015,1,0,0
22000103,1,0,0
10201833,1,1,100
16000165,1,1,100
17500709,1,1,100
37200138,1,0,0
26027245,1,0,0
18300607,1,1,100
21401280,1,1,100
24600225,1,1,100
14701857,1,1,100
27300002,1,1,100
34500020,1,1,100
6200765,1,0,0
32900149,1,1,100
32800278,1,1,100
10700784,1,0,0
5600121,1,1,100
21100369,1,1,100
34800378,1,1,100
26007985,1,1,100
5301494,1,1,100
5801573,1,1,100
25900016,1,1,100
22700380,1,0,0
9200390,1,0,0
16200453,1,1,100
12716992,1,1,100
17301312,1,1,100
38300513,1,1,100
26402806,1,1,100
5300436,1,1,100
1801563,1,1,100
4000101,1,1,100
26202747,1,1,100
25502632,1,0,0
9700012,1,1,100
10201693,1,1,100
26015374,1,1,100
6400188,1,1,100
15900440,1,1,100
26203328,1,0,0
5400078,1,1,100
29502433,1,1,100
9200265,1,1,100
1480542,1,1,100
12703184,1,1,100
14100370,1,1,100
1801968,1,1,100
1307152,1,1,100
1004034,1,1,100
12712343,1,1,100
1306241,1,1,100
50900065,1,0,0
28718169,1,1,100
4502196,1,0,0
11300135,1,0,0
16900066,1,0,0
28100917,1,0,0
23300458,1,0,0
17302445,1,0,0
21408920,1,0,0
9000766,1,0,0
10503848,1,0,0
6600175,1,1,100
4804678,1,1,100
21405814,1,1,100
27701144,1,0,0
28716838,1,1,100
26401671,1,1,100
5500284,1,0,0
8902263,1,0,0
12900917,1,0,0
26400302,1,1,100
13104158,1,1,100
2402449,1,0,0
12202359,1,1,100
12720379,1,1,100
11500120,1,1,100
18001591,1,0,0
27800224,1,1,100
40400011,1,1,100
12705176,1,1,100
12300172,1,0,0
2500121,1,0,0
26601034,1,1,100
12100307,1,1,100
10201695,1,1,100
10900181,1,0,0
5100273,1,1,100
34800577,1,1,100
57000015,1,1,100
12701448,1,1,100
17601145,1,1,100
6902252,1,1,100
7006161,1,1,100
17600371,1,1,100
2403000,1,1,100
40500130,1,0,0
26014516,1,1,100
11100263,1,1,100
12703369,1,1,100
10201356,1,1,100
38100085,1,1,100
28720532,1,1,100
17301522,1,0,0
3500156,1,1,100
12700917,1,1,100
14700660,1,1,100
26400195,1,1,100
12900186,1,1,100
21800277,1,1,100
36000028,1,1,100
1700527,1,1,100
26205402,1,1,100
7005293,1,1,100
26400327,1,1,100
3600600,1,0,0
27600419,1,0,0
23500011,1,1,100
13101315,1,0,0
26204741,1,0,0
28717563,1,1,100
1401309,1,0,0
16001136,1,0,0
21401039,1,0,0
4804666,1,0,0
12706415,1,0,0
10700555,1,1,100
12600042,1,1,100
28712118,1,0,0
10600529,1,0,0
